eNumber,Czech,English,German,score,category
322a,Lecitin - ovesný,Lecithins (Oat),Haferlecithin,0,"Emulsifier, stabiliser"
E100,Kurkumin,Curcumin,Kurkumin,0,"Yellow food colouring in mustard, curry powder, sauces, cheese"
E101,Riboflavin,"Riboflavin, Vitamin B2","Riboflavin, Vitamin B2",0,"Yellow food colouring, also a vitamin supplement"
E140,Chlorofyly a chlorofyliny,Chlorophylls and chlorophyllins,Chlorophylle und Chlorophylline,0,"Green colouring for confectionery, chewing gum"
E150,Karamel,Caramel,Zuckerkulör,0,"Brown colouring in soft drinks, sauces, confectionery"
E150a,Karamel,Caramel I - Plain caramel,Karamell I - Einfacher Zuckerkulör,0,Brown colouring
E160a,Karoteny,Carotenes,Carotine,0,Orange colouring
E160a(i),Směs karotenů,Mixed carotenes,Gemischte Carotine,0,Orange colouring
E160a(ii),Beta-karoten,Beta-carotene,Beta-Carotin,0,"Orange colouring, also a vitamin A precursor"
E160c,"Paprikový extrakt, Kapsanthin, Kapsorubin","Paprika extract, capsanthin, capsorubin","Paprikaextrakt, Capsanthin, Capsorubin",0,Red-orange colouring from paprika
E160d,Lykopen,Lycopene,Lycopin,0,"Red colouring, antioxidant"
E161b,Lutein,Lutein,Lutein,0,Yellow colouring
E161c,Kryptoxantin,Cryptoxanthin,Cryptoxanthin,0,Yellow-orange colouring
E162,Betanin,"Beetroot Red, Betanin","Betanin, Betenrot",0,Red colouring from beetroot
E163,Anthokyany,Anthocyanins,Anthocyane,0,Red to blue colouring from fruits and vegetables
E164,"Šafrán, Šafránová žluť","Saffron, Saffron Yellow","Safran, Safrangelb",0,Yellow colouring from saffron
E166,Santalové dřevo,Sandalwood,Sandelholz,0,Red colouring
E170,Uhličitany vápenaté,Calcium carbonates,Calciumcarbonate,0,"Whitening agent, anti-caking agent"
E234,Nisin,Nisin,Nisin,0,"Preservative in cheese, dairy products"
E260,Kyselina octová,Acetic acid,Essigsäure,0,"Acidity regulator, preservative"
E270,Kyselina mléčná,Lactic acid,Milchsäure,0,"Acidity regulator, preservative in yogurt, cheese"
E290,Oxid uhličitý,Carbon dioxide,Kohlendioxid,0,"Packaging gas, aerating agent"
E296,Kyselina jablečná,Malic acid,Apfelsäure,0,"Acidity regulator, flavouring agent"
E300,Kyselina askorbová,"Ascorbic acid, Vitamin C","Ascorbinsäure, Vitamin C",0,Antioxidant
E306,Extrakt s vysokým obsahem tokoferolů,Tocopherol-rich extract,Tocopherol-haltiger Extrakt,0,"Antioxidant, Vitamin E"
E314,Guaiac Gum,Guaiac gum,Guajakharz,0,Antioxidant
E322,Lecitiny,Lecithins,Lecithine,0,"Emulsifier, stabiliser in chocolate, margarine"
E330,Kyselina citronová,Citric acid,Zitronensäure,0,"Acidity regulator, flavouring agent"
